T,6,7,8,9,10,11,12,13,14,15,16,17/18
90,11,10,11.0,9.0,12.0,12.0, 14,11,13,12,13,13
89,,,10.0,,11.0,11.0,        13,  ,  ,  ,  ,
88,,9,,,,,                     ,10,  ,  ,  ,
87,10,,,,,,,,                      12,  ,12,
86,,,,8.0,,                ,   ,  ,  ,11,  ,12
85,,8,,,10.0,              , 12,  ,  ,  ,  ,
84,,,9.0,,,10.0            ,   ,  ,  ,  ,11,
83,, ,,,,                 ,  ,  9,11,  ,   ,11
82,,7,,,,   ,                11,  ,  ,  10,,
81,8,,,,9.0, ,                 ,   ,  ,    ,,
80,,,8.0,7.0,,9.0           ,  ,  ,  ,10,  ,
79,,,  6,   ,,              , 8,10,  ,  ,10,
78,7,,,, ,                  10,  ,  , 9,  ,,
77,,,,,8.0,                   ,   ,  ,  ,  ,  ,
76,,5,,,,8.0                   ,,9,  , 9,  ,
75,6,,7.0,6.0,,               9,   , ,,8,  , 9
74,,,,,,                   ,   , 7,  ,  ,  ,
73,,4,,,7.0,                   ,   ,  ,  ,8,  ,
72,5,,,,,7.0                   ,   , 8,  , ,,8
71,,,,,,                   ,  8,  ,  ,  7,  ,
70,,3,6.0,5.0,,                   , ,6,  ,  ,  ,
69,4,,,,,                   ,   ,  ,   7,  ,7 ,
68,,,,,6.0,6.0                7,   ,  ,  , ,,7
67,,2,,,,                   ,   ,  ,  , 6,  ,
66,3,,,,,                   , 5,  ,  ,  6,  ,
65,,,5.0,,,                   ,   ,  6,  ,  ,  ,6
64,,1,,4.0,5.0,               6,   ,  ,  ,  ,  ,
63,2,,,,,5.0                   ,   ,  ,5,  ,  ,
62,,,,,,                   ,   ,  ,  ,  5,  ,
61,,0,,,,                     5,   4,   5,  , ,,5
60,1,,4.0,,4.0,                   ,   ,  ,  ,  ,  ,
59,,,,3.0,,4.0                   ,   ,  ,  4,  ,  ,
58,,,,,,                   ,   ,  4,  ,  4,  ,
57,0,,,,,                   4,   3,  ,  ,  ,  ,4
56,,,3.0,,3.0,                   ,   ,  ,  3,  ,  ,
55,,,,,,3.0                   ,   ,  ,  ,  3,  ,
54,,,,2.0,,                   3,   ,  3,  ,  ,  ,3
53,,,,,,                   ,   2,  ,  ,  ,  ,
52,,,,,2.0,                   ,   ,  ,  2,  ,  ,
51,,,2.0,,,2.0                   ,   ,  2,  ,  2,  ,
50,,,,,,                   2,   ,  ,  ,  ,  2,
49,,,,,,                   ,   ,  ,  ,  ,  ,
48,,,,1.0,1.0,                   ,   1,  ,  1,  ,  ,
47,,,,,,1.0                   1,   ,  1,  ,  1,  ,1
46,,,1.0,,,                   ,   ,  ,  ,  ,  ,
45,,,,,,                   ,   ,  ,  ,  ,  ,
44,,,,,,                   ,   0,  ,  ,  0,  0,
43,,,,0.0,0.0,                  0 ,   ,  0,  ,  ,  ,0
42,,,,,,0.0                   ,   ,  ,  ,  ,  ,
41,,,0.0,,,                   ,   ,  ,  ,  ,  ,
40,,,,,,                   ,   ,  ,  ,  ,  ,
