T,6,7,8,9,10,11,12,13,14,15,16,17/18
90,19,22,22,22,21,23,27,24,27,23,,
89,,21,21,,20,,26,,,,,
88,18,,,,,22,,23,26,22,,
87,,20,20,21,,,25,,,,,
86,17,,,,19,21,,22,25,,27,
85,,19,,20,,,24,,24,21,,
84,16,,19,,18,,,,,,26,27
83,,18,,,,20,23,21,23,20,25,
82,15,,18,19,,,,,,,,26
81,,17,,,17,19,22,20,22,19,24,25
80,14,,,18,,,,,,,,
79,,16,17,,,18,21,19,21,18,23,24
78,13,,,17,16,,,,,,22,
77,,15,16,,,,20,18,20,,,23
76,12,,,,,17,,,,17,21,22
75,,14,15,16,15,,19,17,19,,,
74,11,,,,,16,,,,16,20,21
73,,13,,15,14,,18,16,18,,19,
72,10,,14,,,15,,,,15,,20
71,,12,,,,,17,,17,,18,19
70,9,,13,14,13,,,15,,,,
69,,11,,,,14,16,,16,14,17,18
68,8,,,13,,,,14,,,,
67,,10,12,,12,13,15,,15,13,16,17
66,7,,,,,,,13,,,15,16
65,,9,11,12,11,12,14,,14,12,,
64,6,,,,,,,12,,,14,15
63,,8,,11,,,13,,13,11,,
62,5,,10,,10,11,,11,,,13,14
61,,7,,,,,12,,12,,12,13
60,4,,9,10,,10,,,11,10,,
59,,6,,,9,,11,10,,,11,12
58,3,,,9,,9,,,10,9,,
57,,5,8,,8,,10,9,,,10,11
56,2,,,,,,,,9,8,9,10
55,,4,7,8,,8,9,8,,,,
54,1,,,,7,,,,8,7,8,9
53,,3,,7,,7,8,7,,,,
52,0,,6,,,,,,7,,7,8
51,,2,,6,6,6,7,6,,6,6,7
50,,,5,,,,,,6,,,
49,,1,,,5,,6,,,5,5,6
48,,,4,5,,5,,5,5,,,5
47,,0,,,,,5,,,4,4,
46,,,,4,4,4,,4,4,,3,4
45,,,3,,,,4,,,3,,
44,,,,,,3,3,3,3,,2,3
43,,,2,3,3,,,,,,,2
42,,,,,,,2,2,2,2,1,
41,,,,2,,2,,,,,0,1
40,,,1,1,2,1,0-1,0-1,0-1,0-1,,0
