T,6,7,8,9,10,11
90,25,26,26.0,23.0,27.0,27.0
89,24,25,,,26.0,26.0
88,24,25,25.0,,,
87,,,,22.0,25.0,25.0
86,23,24,24.0,,,
85,,23,,21.0,24.0,24.0
84,22,23,23.0,,,
83,,22,,,23.0,23.0
82,21,22,22.0,20.0,,
81,,21,,,22.0,22.0
80,,,21.0,19.0,,
79,,,,,21.0,21.0
78,,,20.0,18.0,,
77,,,,,20.0,20.0
76,,,19.0,,,
75,,,,17.0,19.0,19.0
74,,,18.0,,,
73,,,,16.0,18.0,18.0
72,,,17.0,,,
71,,,,15.0,17.0,17.0
70,,,16.0,,,
69,,,,,16.0,16.0
68,,,15.0,14.0,,
67,,,,,15.0,15.0
66,,,14.0,13.0,,
65,,,,,14.0,14.0
64,,,13.0,12.0,,
63,,,,,13.0,13.0
62,,,12.0,,,
61,,,,11.0,12.0,12.0
60,,,11.0,,,
59,,,,10.0,11.0,11.0
58,,,10.0,,,
57,,,,,10.0,10.0
56,,,9.0,9.0,,
55,,,,,9.0,9.0
54,,,8.0,8.0,,
53,,,,,8.0,8.0
52,,,7.0,7.0,,
51,,,,,7.0,7.0
50,,,6.0,,,
49,,,,6.0,6.0,
48,,,5.0,,,6.0
47,,,,5.0,5.0,
46,,,4.0,,,5.0
45,,,,4.0,4.0,
44,,,3.0,,,4.0
43,,,,,3.0,
42,1,3,,3.0,,3.0
41,,,2.0,,2.0,
40,,,1.0,2.0,1.0,2.0
