T,6,7,8,9,10,11,12,13,14,15,16,17/18
90,25,23,22,22,21,22,23,22,22,18,20,21
89,,,21,21,20,,22,21,21,,19,
88,,22,,,,21,,,,17,,20
87,24,,,20,,,21,,,,,
86,,21,20,,19,20,,20,20,16,18,
85,23,,,19,,,20,,,,,19
84,,20,19,,18,19,,19,19,,17,
83,22,,,,,,,,,15,,18
82,,19,18,18,17,,19,18,18,,,
81,21,,,,,18,,,,,16,17
80,,18,,17,,,18,,,14,,
79,20,,17,,16,17,,17,17,,15,
78,,17,,16,,,17,,,,,16
77,19,,16,,15,16,,16,16,13,,
76,,16,,,,,16,,,,14,15
75,18,,15,15,,,,15,15,,,
74,,15,,,14,15,15,,,12,13,14
73,17,,,14,,,,,,,,
72,,14,14,,13,14,14,14,14,,,
71,16,,,13,,,,,,11,12,13
70,,13,13,,,13,,13,13,,,
69,15,,,,12,,13,,,,,12
68,,12,12,12,,,,12,12,10,11,
67,14,,,,11,12,12,,,,,11
66,,,,11,,,,,,,10,
65,13,,11,,,11,11,11,11,9,,
64,,,,10,10,,,,,,,10
63,12,,10,,,10,10,10,10,,9,
62,,9,,,9,,,,,8,,9
61,11,,,9,,,9,9,9,,8,
60,,8,9,,8,9,,,,,,8
59,10,,,8,,,,,,7,,
58,,7,8,,,8,8,8,8,,7,7
57,9,,,7,7,,,,,,,
56,,6,7,,,7,7,7,7,6,6,
55,8,,,,6,,,,,,,6
54,,5,,6,,6,6,6,6,,,
53,7,,6,,,,,,,5,5,5
52,,4,,5,5,,5,5,5,,,
51,6,,5,,,5,,,,,,4
50,,3,,,4,,4,,,4,4,
49,5,,4,4,,4,,4,4,,,
48,,2,,,,,3,,,,3,3
47,4,,,3,3,3,,3,3,3,,
46,,1,3,,,,,,,,,2
45,3,,,2,2,,2,2,2,2,2,
44,,0,2,,,2,,,,,,1
43,2,,,,,,1,,,,1,
42,,,1,1,1,1,,1,1,1,,
41,1,,,,,,0,,,,,0
40,,,0,0,0,0,,0,0,0,0,
